scene_id,frame_id,scene_description,qa_category,question,answer,cam_front,question_length,answer_length
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What are objects to the front right of the ego car?,There are many barriers and one construction vehicle to the front right of the ego car.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,16
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What are objects to the front left of the ego car?,There is one truck and one barrier to the front left of the ego car.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,15
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the status of the truck that is to the front left of the ego car?,One truck is moving.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,17,4
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What are objects to the back left of the ego car?,"There are two barriers, many trucks, two trailers, and one car to the back left of the ego car.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,19
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the status of the trucks that are to the back left of the ego car?,Many trucks are parked.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,17,4
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the status of the construction vehicle that is to the front right of the ego car?,The construction vehicle to the front right of the ego car is parked.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,18,13
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What are objects to the front of the ego car?,There are many obstacles in front of the ego car.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,10,10
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the status of the trailers that are to the back left of the ego car?,Two trailers are parked.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,17,4
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What are objects to the back of the ego car?,"There are two cars, one truck, and one barrier to the back of the ego car.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,10,16
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the status of the cars that are to the back of the ego car?,Two cars are moving.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,16,4
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the status of the car that is to the back left of the ego car?,One car is moving.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,17,4
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the status of the truck that is to the back of the ego car?,One truck is parked.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,16,4
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What are objects to the back right of the ego car?,There are two trailers to the back right of the ego car.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,12
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the status of the trailers that are to the back right of the ego car?,"One of the trailers is parked, and one is moving.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,17,10
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Are there barriers to the front right of the ego car?,Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Are there standing pedestrians to the front right of the ego car?,No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Are there parked trailers to the front right of the ego car?,No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Are there barriers to the front of the ego car?,Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,10,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Are there parked trucks to the back left of the ego car?,Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Are there parked trailers to the back right of the ego car?,Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Are there barriers to the front left of the ego car?,Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Are there parked construction vehicles to the front right of the ego car?,Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,13,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Please describe the current scene.,There are two moving cars behind the ego car and two barriers in front of it.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,5,16
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What is the relative positioning of the important objects in the current scene?,"<c2,CAM_BACK,864.2,468.3> is at the back of <c1,CAM_BACK,1088.3,497.5>.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,13,7
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Is there any traffic element in the front view?,"Yes, there are some traffic elements in the front view.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,9,10
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,"Identify all the traffic elements in the front view, categorize them, determine their status, and predict the bounding box around each one. The output should be a list formatted as (c, s, x1, y1, x2, y2), where c represents the category, s denotes the status, and x1, y1, x2, y2 are the offsets of the top-left and bottom-right corners of the box relative to the center point.","There are two traffic elements in the front view. The information of these traffic elements is [(traffic light, green, 674.86, 0.14, 723.33, 109.18), (traffic light, green, 1018.98, 7.19, 1071.77, 125.6)].",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,67,30
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,Which lanes are each important object on in the scene?,"<c1,CAM_BACK,1088.3,497.5> is in the left lane, and <c2,CAM_BACK,864.2,468.3> is in the ego lane.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,10,13
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,What are the important objects in the current scene? Those objects will be considered for the future reasoning and driving decision.,"There is a brown SUV to the back of the ego vehicle, a black sedan to the back of the ego vehicle, and a green light to the front of the ego vehicle. The IDs of these objects are <c1,CAM_BACK,1088.3,497.5>, <c2,CAM_BACK,864.2,468.3>, and <c3,CAM_FRONT,1043.2,82.2>.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,21,43
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,"What is the observed status of object <c1,CAM_BACK,1088.3,497.5>?",Moving.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,8,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,"What is the moving status of object <c1,CAM_BACK,1088.3,497.5>?",Turn left.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,8,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,"What is the observed status of object <c2,CAM_BACK,864.2,468.3>?",Moving.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,8,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,"What is the moving status of object <c2,CAM_BACK,864.2,468.3>?",Going ahead.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,8,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,"What is the visual description of <c1,CAM_BACK,1088.3,497.5>?",Brown SUV.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,7,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,"What is the visual description of <c2,CAM_BACK,864.2,468.3>?",Black sedan.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,7,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",perception,"What is the visual description of <c3,CAM_FRONT,1043.2,82.2>?",Green light.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,7,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Is <c1,CAM_BACK,1088.3,497.5> a traffic sign or a road barrier?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,9,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Which object is most likely to be occluded by <c1,CAM_BACK,1088.3,497.5>? Would this object affect the ego vehicle? Based on this object, what action of the ego vehicle is dangerous?","None, no, none.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,29,3
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Would <c1,CAM_BACK,1088.3,497.5> be in the moving direction of the ego vehicle?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"What is the future state of <c1,CAM_BACK,1088.3,497.5>?",Turn left.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,7,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Is <c2,CAM_BACK,864.2,468.3> a traffic sign or a road barrier?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,9,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Which object is most likely to be occluded by <c2,CAM_BACK,864.2,468.3>? Would this object affect the ego vehicle? Based on this object, what action of the ego vehicle is dangerous?","None, no, none.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,29,3
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Would <c2,CAM_BACK,864.2,468.3> be in the moving direction of the ego vehicle?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"What is the future state of <c2,CAM_BACK,864.2,468.3>?",Turn left.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,7,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Is <c3,CAM_FRONT,1043.2,82.2> a traffic sign or a road barrier?",Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,9,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Would <c3,CAM_FRONT,1043.2,82.2> be in the moving direction of the ego vehicle?",Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"What does <c3,CAM_FRONT,1043.2,82.2> mean?",Please proceed.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,4,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"In this scenario, what object is most likely to consider <c3,CAM_FRONT,1043.2,82.2>?",The ego vehicle.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,11,3
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,What object should the ego vehicle notice first when the ego vehicle is getting to the next possible location? What is the state of the object that is first noticed by the ego vehicle and what action should the ego vehicle take? What object should the ego vehicle notice second when the ego vehicle is getting to the next possible location? What is the state of the object perceived by the ego vehicle as second and what action should the ego vehicle take? What object should the ego vehicle notice third? What is the state of the object perceived by the ego vehicle as third and what action should the ego vehicle take?,"Firstly notice that <c3,CAM_FRONT,1043.2,82.2>. The object is a traffic sign, so the ego vehicle should keep going ahead at the same speed. Secondly notice that <c1,CAM_BACK,1088.3,497.5>. The object is turning left, so the ego vehicle should keep going ahead at the same speed. Thirdly notice that <c2,CAM_BACK,864.2,468.3>. The object is going ahead, so the ego vehicle should keep going ahead at the same speed.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,113,64
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Are <c1,CAM_BACK,1088.3,497.5> and <c2,CAM_BACK,864.2,468.3> traffic signs?",Neither is a traffic sign.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,6,5
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Will <c1,CAM_BACK,1088.3,497.5> be in the moving direction of <c2,CAM_BACK,864.2,468.3>?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,9,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Will <c1,CAM_BACK,1088.3,497.5> change its motion state based on <c2,CAM_BACK,864.2,468.3>?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,9,1
